cookie_name,Placed_by,Functionality,purpose
zrdn_unit_type,Zip Recipes,to store configuration.,Functional
paoc_popup_sess_cookie,Popup Anything,to provide a responsive website.,Functional
drts-voting-bookmark-post,Directories Pro,to provide persistent item display functionality.,Functional
wpe_country,WP Engine,to store location data.,Functional
uael_visitor,Ultimate Elementor,to store first visit to the site.,Functional
nitropack_apwarning,Nitropack,with unknown functionality,Functional
nitroCachedPage,Nitropack,to provide load balancing functionality.,Functional
24230wpqa_post_stats*,WPQA Form Builder,with unknown functionality,Functional
c_cerber_*,Cerber Security & Anti-Spam,to provide protection against hackers.,Functional
OptanonChoice,OneTrust,to store cookie consent preferences.,Functional
__racplx*,Ruler Analytics,to provide functions across pages.,Functional
cmplz_rt_id,Complianz,to store anonymized statistics.,Functional
cmplz_rt_choice,Complianz,to store if a message has been dismissed.,Functional
stonlyWidget_triggerShown_*,Stonly,to store if a message has been shown.,Functional
cmplz_rt_event_*,Complianz,to store cookie consent preferences.,Functional
cmplz_rt_consent_status,Complianz,to store cookie consent preferences.,Functional
cmplz_rt_statistics-anonymous,Complianz,to store cookie consent preferences.,Functional
cmplz_rt_preferences,Complianz,to store cookie consent preferences.,Functional
cmplz_rt_statistics,Complianz,to store cookie consent preferences.,Functional
cmplz_rt_marketing,Complianz,to store cookie consent preferences.,Functional
cmplz_rt_policy_id,Complianz,to store accepted cookie policy ID.,Functional
cmplz_statistics,Complianz,to store cookie consent preferences.,Functional
cmplz_preferences,Complianz,to store cookie consent preferences.,Functional
cmplz_consent_status,Complianz,to store cookie consent preferences.,Functional
cmplz_statistics-anonymous,Complianz,to store cookie consent preferences.,Functional
cmplz_policy_id,Complianz,to store accepted cookie policy ID.,Functional
cmplz_functional,Complianz,to store cookie consent preferences.,Functional
csrf_session_id,TikTok,to provide protection against hackers.,Functional
tt_csrf_token,TikTok,to provide protection against hackers.,Functional
_abck,TikTok,to provide protection against hackers.,Functional
wa_lang_pref,WhatsApp,to store language settings.,Functional
wa_ul,WhatsApp,to provide access.,Functional
storeApiNonce,WooCommerce,to provide functions across pages.,Functional
optimizelyOptOut,Optimizely,to store cookie consent preferences.,Functional
webapp-newuser,TikTok,to store first visit to the site.,Functional
autoplay-config,TikTok,to store configuration.,Functional
webapp-video-mute,TikTok,to store configuration.,Functional
ct_screen_info,CleanTalk Spam Protect,to store dynamic variables from the browser.,Functional
ct_has_scrolled,CleanTalk Spam Protect,to store dynamic variables from the browser.,Functional
rl_cookie_test,RudderStack,to read if cookies can be placed.,Functional
_hjSessionRejected,Hotjar,to provide load balancing functionality.,Functional
_learn_press_session_*,LearnPress,"to store a unique session ID, store a unique user ID.",Functional
pg_height,PubGuru,to read screen resolution.,Functional
pg_width,PubGuru,to read screen resolution.,Functional
acgroupswithpersist,PHP,to provide persistent item display functionality.,Functional
fm_cookie_*,10Web,to store information related to the contact form.,Functional
pitchprint_sessId,PitchPrint,to store a unique session ID.,Functional
debug_vis_opt_exp_*,Visual Website Optimizer,to provide functions across pages.,Functional
debug_vis_opt_test_cookie,Visual Website Optimizer,to provide functions across pages.,Functional
crisp-clientsocket*,Crisp Live Chat,to store the status of the chat.,Functional
pardot,Pardot,to store and track if the browser tab is active.,Functional
googlesitekit_*,Google Site Kit,to provide admin functions.,Functional
google_classroom_popup,Masterstudy,to provide a responsive website.,Functional
pi_opt_in*,Pardot,to store privacy preferences.,Functional
uael-timer-recinterval-*,Ultimate Elementor,to provide functions across pages.,Functional
uael-timer-recStartTime-*,Ultimate Elementor,to provide functions across pages.,Functional
intercom.intercom-state-*,Intercom Messenger,to provide functions across pages.,Functional
cmplzFormValues,Complianz,with unknown functionality,Functional
cmplz_layout,Complianz,to read screen resolution.,Functional
cmplz_id,Complianz,to store anonymized statistics.,Functional
__stripe_sid,Stripe,to provide fraud prevention.,Functional
*__stripe_,Stripe,to provide fraud prevention.,Functional
__stripe_mid,Stripe,to provide fraud prevention.,Functional
PHPSESSID,PHP,to provide functions across pages.,Functional
ts,Dailymotion,with unknown functionality,Functional
hist,Dailymotion,to store the user's usage history.,Functional
*_wordpress_,WordPress,to Store logged in users.,Functional
cmplz_choice,Complianz,to store if a message has been dismissed.,Functional
actppresence,Facebook,to store and track if the browser tab is active.,Functional
hppsession,Adyen,with unknown functionality,Functional
aelia_cs_selected_currency,Aelia,to store currency settings.,Functional
__atuvc,AddThis,to store performed actions on the website.,Functional
__atuvs,AddThis,to store performed actions on the website.,Functional
No longer active,Complianz,to store cookie consent preferences.,Functional
cmplz_event_*,Complianz,to store cookie consent preferences.,Functional
complianz_policy_id,Complianz,to store accepted cookie policy ID.,Functional
complianz_consent_status,Complianz,to store cookie consent preferences.,Functional
cookieconsent_status,,to store cookie consent preferences.,Functional
_hjMinimizedPolls,Hotjar,to store if a message has been dismissed.,Functional
_hjDonePolls,Hotjar,to store performed actions on the website.,Functional
_hjClosedSurveyInvites,Hotjar,to store if a message has been shown.,Functional
__lc_visitor_id*,LiveChat,to store a unique user ID.,Functional
wpfront-notification-bar-landingpage,WP Front,to provide functions across pages.,Functional
No longer active,CloudFlare,to provide the identification of trusted web traffic.,Functional
CONSENT,Google Ads Optimization,to store cookie consent preferences.,Functional
HSID,Google Ads Optimization,to provide fraud prevention.,Functional
has_js,Criteo,to provide functions across pages.,Functional
csm,Facebook,to provide fraud prevention.,Functional
_icl_current_admin_language_*,WPML,to store language settings.,Functional
